City ID,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
2126199,Cherskiy,RU,68.75,68.75,-6.03,100,96,3.51
3372760,Praia da Vitória,PT,38.7333,38.7333,66.45,82,75,10.83
3380290,Sinnamary,GF,5.3833,5.3833,78.44,88,100,11.95
1507390,Dikson,RU,73.5069,73.5069,8.06,87,99,12.55
2122090,Pevek,RU,69.7008,69.7008,10.9,93,100,7.14
4404233,Poplar Bluff,US,36.757,36.757,61.45,88,1,4.61
3874787,Punta Arenas,CL,-53.15,-53.15,35.71,87,90,27.63
6201424,Mataura,NZ,-46.1927,-46.1927,53.37,95,100,0.51
5911745,Burns Lake,CA,54.2331,54.2331,47.62,54,83,2.71
3893656,Copiapó,CL,-27.3667,-27.3667,53.29,47,0,6.46
5712169,Baker City,US,44.7749,44.7749,48.7,70,90,12.66
546105,Nikolskoye,RU,59.7035,59.7035,34.16,93,99,9.57
1489822,Tegul'det,RU,57.3064,57.3064,42.48,87,100,14.36
3395062,Maués,BR,-3.3836,-3.3836,82.36,68,89,2.3
4030556,Rikitea,PF,-23.1203,-23.1203,74.98,81,97,19.51
2618795,Klaksvík,FO,62.2266,62.2266,49.12,85,58,15.41
5848280,Kapaa,US,22.0752,22.0752,80.13,74,40,3.0
2264557,Ponta do Sol,PT,32.6667,32.6667,68.52,65,29,7.23
2075265,Busselton,AU,-33.65,-33.65,54.05,71,94,4.14
2120400,Tungor,RU,53.3808,53.3808,38.05,93,98,17.87
359792,Aswān,EG,24.0934,24.0934,70.9,40,0,4.61
3667070,Timbiquí,CO,2.7717,2.7717,75.38,93,97,2.44
3833367,Ushuaia,AR,-54.8,-54.8,33.46,93,75,23.02
1235846,Matara,LK,5.9485,5.9485,77.32,86,35,9.48
2126123,Chokurdakh,RU,70.6333,70.6333,-2.27,98,100,6.53
964432,Port Alfred,ZA,-33.5906,-33.5906,59.16,65,3,16.35
3366880,Hermanus,ZA,-34.4187,-34.4187,48.79,71,24,2.66
3372707,Ribeira Grande,PT,38.5167,38.5167,67.5,64,22,11.83
1735106,George Town,MY,5.4112,5.4112,78.12,89,20,2.3
2017155,Saskylakh,RU,71.9167,71.9167,7.61,94,100,15.55
3369157,Cape Town,ZA,-33.9258,-33.9258,54.91,74,0,1.14
4036284,Alofi,NU,-19.0595,-19.0595,76.89,57,91,18.41
6089245,Norman Wells,CA,65.282,65.282,42.84,65,40,4.61
3883457,Lebu,CL,-37.6167,-37.6167,52.05,86,16,8.3
1057095,Sakaraha,MG,-22.9,-22.9,63.01,88,0,1.12
2163355,Hobart,AU,-42.8794,-42.8794,49.33,82,75,5.99
6165406,Thompson,CA,55.7435,55.7435,33.96,75,75,3.44
3441890,Departamento de Maldonado,UY,-34.6667,-34.6667,54.79,96,84,7.45
286621,Salalah,OM,17.0151,17.0151,73.49,60,0,6.91
3471451,Arraial do Cabo,BR,-22.9661,-22.9661,71.56,88,0,20.71
935215,Saint-Philippe,RE,-21.3585,-21.3585,71.44,83,64,11.5
1259385,Port Blair,IN,11.6667,11.6667,77.04,94,75,2.3
1510916,Barabinsk,RU,55.3571,55.3571,47.88,78,100,19.01
2208248,Kaitangata,NZ,-46.2817,-46.2817,58.24,69,100,2.93
4303436,Owensboro,US,37.7742,37.7742,57.04,94,90,6.91
3837213,San Juan,AR,-31.5375,-31.5375,71.62,18,0,7.72
1810821,Fuzhou,CN,26.0614,26.0614,64.29,93,100,3.15
964406,Port Shepstone,ZA,-30.7414,-30.7414,65.48,62,38,28.19
6185377,Yellowknife,CA,62.456,62.456,41.88,83,75,14.97
2074865,Carnarvon,AU,-24.8667,-24.8667,69.87,83,0,8.05
4032243,Vaini,TO,-21.2,-21.2,71.82,66,76,19.95
5106841,Albany,US,42.6001,42.6001,47.91,69,97,6.58
3430863,Mar del Plata,AR,-38.0023,-38.0023,53.87,70,40,1.99
2457161,Gao,ML,16.6362,16.6362,87.64,35,87,8.12
710473,Chyhyryn,UA,49.0838,49.0838,42.96,60,5,7.78
2122614,Okha,RU,53.5739,53.5739,36.25,97,98,18.39
